C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD8_HAVCR2_nam,C1_CD8_HAVCR2_pva,C1_CD8_HAVCR2_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C4_CD4_CCR7_nam,C4_CD4_CCR7_pva,C4_CD4_CCR7_log,C5_CD8_GZMK_nam,C5_CD8_GZMK_pva,C5_CD8_GZMK_log,C6_CD8_ZNF683_nam,C6_CD8_ZNF683_pva,C6_CD8_ZNF683_log,C7_CD8_ZNF683_nam,C7_CD8_ZNF683_pva,C7_CD8_ZNF683_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
PRPF8,0.715223054,-0.03199855,CAV1,0.477943809,-1.3970453,POLR3A,0.736652753,-0.91849196,FAAP24,0.725534369,-24.290836,TRIM27,0.356561202,-0.6048149,ZNF524,0.865882145,-0.048403632,ZNF792,0.867914286,-1.6991585,LOXL2,0.886289252,1.3553901,FBN1,0.73617768,-0.19979487
STXBP5,0.715096852,-1.0392656,MBD1,0.477933286,-0.57036966,UBE2I,0.736595469,-0.049551234,KRT23,0.725534369,-24.365313,ATPAF1,0.356536972,-0.9455949,TMEM177,0.865770526,-0.6935153,GPAT3,0.867914286,-1.5831451,PRICKLE1,0.886311284,1.432447,ITPRIPL2,0.736682562,1.4534953
SRM,0.714729763,-0.22878547,PPIP5K2,0.477912239,-0.49600777,ENOSF1,0.736595469,-0.32000947,DHX16,0.725534369,-0.41910964,TYW3,0.356476401,-0.58546156,APOBEC3F,0.865640306,-0.44168416,AURKA,0.867875975,-0.58251923,CEP170B,0.886333317,0.8909106,ATP10D,0.737945264,0.39318797
SPNS3,0.714603592,-0.14486118,DONSON,0.477691281,-0.57234037,ARFGEF2,0.736581148,-0.83681136,NSDHL,0.725503759,-1.1802068,DOCK11,0.356331057,-0.8203049,SIRT1,0.865621704,-0.52058804,ZNF256,0.867799353,-1.7487476,CLDND2,0.886333317,0.06911513,UVSSA,0.73813473,1.1640588
DYRK1B,0.714546244,-0.41421235,CTCF,0.477607122,-0.19719496,TMEM25,0.736423627,-1.7128667,EBAG9,0.725488454,-0.1623469,DEFB1,0.356282617,-3.3687437,DNASE1L1,0.865603101,-0.635454,HSPA2,0.867799353,-0.7119003,DMC1,0.886333317,1.1248477,DUSP3,0.738197889,1.114697
PCED1B,0.714500366,-0.008947635,ACLY,0.477544007,-0.36639404,ALKBH1,0.736337711,-1.839846,RANBP9,0.725381322,-0.5417374,AGPAT1,0.355931553,-1.0209556,ZNF721,0.865584499,-0.08325702,SLC22A18,0.867761042,-0.19530356,PAQR3,0.886333317,0.51742446,COL5A2,0.738197889,-0.13538936
RIF1,0.714443021,-0.05955164,TMEM129,0.477449344,-1.0097176,LRIG2,0.736251799,-0.62029934,PGM2,0.725350714,-0.41127577,AKIP1,0.355931553,-1.4612585,RRM2B,0.865565897,-0.62540895,ANKRD26,0.867703577,-0.35748532,RNASE4,0.886377382,1.0486585,ABTB1,0.738324212,-0.53788644
GALNT1,0.714293931,-0.31856355,ZNF24,0.477249534,-0.20065756,FOXO3,0.73623748,-0.25948638,RBM12B,0.725212982,-0.59599847,RRP36,0.355919451,-3.4096186,NAGPA,0.865454285,-0.3066864,ZNF337,0.867646113,-0.7518002,ZSWIM1,0.886377382,1.1450716,MNDA,0.738387377,0.9912284
ZNF567,0.714121918,-0.29654235,CNOT6,0.477133875,-1.1488845,ARSK,0.735936814,-0.95646137,RLIM,0.725182376,-0.5497544,PPP6R2,0.355133393,-1.0844617,LGR6,0.865417081,-1.2723454,PABPC3,0.867377954,-0.8413672,PDE8A,0.886377382,0.22876278,IFIT2,0.738387377,0.15861791
PARPBP,0.714018717,-0.6576061,SLC38A5,0.477018231,-1.0246433,MR1,0.735765023,-0.36324102,ANKAR,0.725014052,-1.3652536,UBR4,0.354867591,-1.5434415,GFPT1,0.86539848,-0.37623096,PRMT3,0.867263034,-0.3996673,RPA4,0.886421448,0.9337965,LDLRAP1,0.73851371,-0.35975352
METTL4,0.71369768,-0.22169736,MRPL44,0.476629361,-0.5047944,BICD1,0.735736392,-0.6564012,METTL18,0.724891643,-0.45906198,MRI1,0.354783044,-1.9958371,CDC34,0.865379878,-0.6429477,MRPL1,0.867071506,-0.15396406,FAM110C,0.886421448,1.1739035,ZNF350,0.738797987,-0.44670546
CCNYL1,0.713135989,-2.3616717,KLF4,0.47647176,-2.1750789,GPR137,0.734992126,-0.59165746,RALGAPB,0.724769241,-0.53858525,EXOC2,0.354529479,-1.6290861,DST,0.865379878,-1.2449576,NUP214,0.867033201,-0.35265163,SDR42E1,0.886421448,1.148976,CYFIP1,0.7390823,0.50689936
AFTPH,0.713124527,-0.17741522,RABGAP1,0.476440244,-0.6682906,UCK1,0.734977815,-0.46090272,PARN,0.72460095,-0.43951285,JMJD6,0.354312228,-0.3140654,WDR24,0.865379878,-1.17892,CSE1L,0.867014049,-0.057856757,ZNF41,0.886421448,1.027727,PRR7,0.739177079,-0.3599695
KIF3A,0.713113066,-0.12855768,NUTF2,0.476419233,-0.008573064,NCR1,0.73466301,-1.0099168,LARP4B,0.72438678,-0.56145185,PDHA1,0.353709197,-0.6723741,SCD,0.865305473,-1.2967869,LIN52,0.866956593,-0.9031395,PLD4,0.886421448,1.1186494,IDUA,0.739208673,0.6295761
CCDC130,0.712895311,-0.111672945,KLHL28,0.476366709,-0.3752034,C3AR1,0.734634394,-0.2762596,IGFBP3,0.724249111,-0.23979346,C6orf47,0.353660983,-0.9116453,CHAF1B,0.865268271,-1.0980104,CSNK1E,0.866765078,-0.13715513,ZNF57,0.886421448,1.0266849,RHOU,0.739208673,0.9113234
