C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD8_HAVCR2_nam,C1_CD8_HAVCR2_pva,C1_CD8_HAVCR2_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C4_CD4_CCR7_nam,C4_CD4_CCR7_pva,C4_CD4_CCR7_log,C5_CD8_GZMK_nam,C5_CD8_GZMK_pva,C5_CD8_GZMK_log,C6_CD8_ZNF683_nam,C6_CD8_ZNF683_pva,C6_CD8_ZNF683_log,C7_CD8_ZNF683_nam,C7_CD8_ZNF683_pva,C7_CD8_ZNF683_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
LTB,2.21E-145,3.0127287,CCL5,1.17E-35,1.3316075,GZMK,3.99E-133,3.562924,IL7R,1.07E-88,2.9101546,HBB,6.23E-139,6.360486,CD7,1.33E-58,2.3251274,NKG7,2.58E-157,4.432092,SPP1,4.60E-114,6.50826,TUBA1B,1.83E-46,4.380494
EEF1A1,2.10E-136,2.4127896,EEF1A1,1.98E-22,1.2532043,CCL5,1.18E-84,2.1472044,JUNB,8.27E-68,1.937287,HBA2,4.76E-111,5.356197,GZMB,3.18E-48,3.1066084,GZMB,1.44E-126,5.023656,S100A9,3.34E-91,5.5276957,STMN1,2.42E-42,5.2735505
TPT1,7.38E-111,0.9485927,CD8A,1.05E-21,1.3832897,CCL4,3.84E-77,2.8541381,FOS,4.50E-55,2.0996215,HBA1,1.33E-69,4.533439,CD8A,1.95E-40,2.4689515,GNLY,2.57E-125,6.744188,SLPI,7.31E-82,4.3287964,TUBB,1.34E-41,4.0740232
S100A4,1.07E-37,0.9806086,NKG7,1.13E-15,1.1250274,CST7,3.68E-50,1.8712938,TSC22D3,4.37E-54,1.5246066,COL1A2,1.04E-58,3.7908325,CD8B,1.98E-39,2.5962229,PRF1,6.58E-117,4.3656783,FTL,2.03E-71,1.4834403,HMGB2,7.66E-34,3.6068037
CD52,6.60E-30,0.83880866,CD8B,5.59E-13,1.1929141,CXCR4,2.33E-48,1.2418612,SRGN,2.44E-50,1.2937639,COL1A1,7.22E-56,3.6603527,KLRC1,1.15E-28,4.295629,KLRD1,2.83E-102,4.1652594,S100A8,9.65E-70,5.4448643,GAPDH,9.61E-34,1.9285586
IL7R,5.59E-25,1.2757536,CCL4,8.50E-11,1.0497351,KLRD1,2.27E-41,2.2570274,SARAF,1.24E-49,1.5127699,COL3A1,2.98E-54,3.8303478,HOPX,1.42E-28,2.2250156,FGFBP2,3.97E-83,7.885861,NBEAL1,8.51E-55,3.126185,TYMS,9.59E-25,6.8809767
EEF1B2,3.80E-22,0.8153203,GZMK,1.90E-08,0.794661,SRGN,1.58E-40,1.1536975,ANXA1,1.41E-48,1.9732271,FTL,8.93E-45,1.0249783,TMSB4X,8.51E-25,0.42091763,FCGR3A,3.76E-75,5.7614336,IFITM1,3.29E-47,3.1031399,MKI67,9.28E-23,7.334825
KLRB1,1.78E-21,1.3819436,HMGN2,5.67E-08,0.9544231,NKG7,3.75E-38,1.9818407,ZFP36,2.23E-46,1.787714,CXCR4,1.78E-30,1.0285071,CCL5,4.02E-22,1.6484671,TYROBP,4.83E-73,4.2786655,IL32,2.02E-45,1.5965992,ACTG1,1.48E-22,1.7884063
BIRC3,1.61E-17,1.4250408,ITM2C,5.76E-08,1.198854,CTSW,2.77E-36,1.6706047,CXCR4,2.32E-32,1.0934676,SPARC,7.32E-29,3.1730084,XCL1,8.39E-22,2.4368403,KLRF1,8.57E-73,6.909429,TIMP1,8.57E-45,2.72746,CKS1B,3.50E-22,4.455546
SH3BGRL3,6.02E-17,0.5174597,APOBEC3G,6.98E-08,0.85553086,ZFP36,2.91E-36,1.468961,LEPROTL1,2.22E-31,1.6491069,MT2A,2.81E-27,1.422925,ZNF683,2.97E-19,2.7675326,CST7,5.32E-61,2.4672463,C1QB,6.75E-42,3.6796367,SMC2,3.98E-22,4.7854433
CORO1B,8.58E-17,1.5690795,TMSB4X,7.08E-08,0.11629651,CD74,5.54E-35,1.2685328,GPR171,1.07E-29,1.9418589,TAGLN,3.27E-24,3.4655983,CD63,1.19E-18,1.3783581,CCL4,5.71E-58,3.0832353,CSTB,1.12E-40,2.4456978,RAN,1.16E-21,2.5686774
PPIA,2.08E-15,0.779583,CD74,6.95E-07,0.3659801,CD8A,7.20E-35,1.9312934,CREM,2.18E-28,2.193135,LGALS1,3.80E-21,1.3051726,CCL4,2.66E-17,1.6965086,GZMH,1.24E-53,2.9576225,GAPDH,2.38E-40,1.4511119,CALM3,4.00E-21,2.666189
NACA,3.06E-15,0.5341694,CORO1A,8.87E-07,0.3073508,GZMA,8.69E-35,1.5369589,PABPC1,9.63E-28,1.1389006,FN1,1.20E-20,3.2859929,CXCR6,1.70E-14,1.828076,PLAC8,2.07E-51,3.9402232,EEF1A1,1.36E-38,2.5415072,SLC25A5,5.06E-21,2.720953
BTG1,5.68E-15,0.40951532,CTSW,1.21E-06,0.57212967,GZMH,4.36E-33,1.9201864,GPR183,4.05E-27,2.3219466,B2M,3.93E-19,0.3617832,CD3D,4.39E-13,0.8484339,CMC1,1.59E-45,3.2184124,C1QA,3.49E-38,3.588988,DEK,1.44E-20,2.7526455
GAPDH,1.52E-14,0.52027506,TMA7,1.30E-06,0.24573775,HLA-DRB1,2.12E-31,1.8405476,JUN,1.75E-23,1.5392478,RGS1,1.75E-16,1.4331254,ID2,2.71E-12,1.1293339,SPON2,5.26E-44,4.2745056,MIF,3.57E-38,2.5076592,DTYMK,1.98E-20,3.940888
VIM,1.60E-13,0.5657899,HLA-DPB1,1.59E-06,0.54998785,HLA-DPB1,4.95E-29,1.4955882,DUSP1,4.68E-22,1.4145236,GZMK,1.12E-15,1.4996228,PRF1,3.13E-12,1.3964747,FCER1G,4.29E-41,4.3404818,IFITM2,2.94E-37,2.1984599,CENPF,3.49E-20,6.1613107
FXYD5,2.56E-13,0.69193983,CD27,1.67E-06,0.8641977,ALOX5AP,5.32E-29,1.4787692,SOCS3,6.86E-22,2.4203203,IFITM3,1.51E-14,1.8550828,CTSW,4.37E-12,1.2373906,CTSW,7.20E-38,2.0622797,FTH1,1.46E-35,0.9211581,DUT,3.61E-20,2.916205
HINT1,5.51E-13,0.58252573,COTL1,1.87E-06,0.7332329,JUNB,1.51E-23,1.1356928,TNFAIP3,4.10E-21,1.8136374,LUM,4.05E-14,2.594141,S100A6,5.49E-12,0.7138539,CCL3,2.87E-35,3.6260989,TPT1,2.56E-32,0.9626926,CKS2,5.62E-20,3.714472
TMSB10,1.53E-12,0.20345443,HCST,1.02E-05,0.26228788,CD8B,1.62E-23,1.7157542,FXYD5,3.75E-18,1.0203996,ACTA2,4.43E-13,2.9471235,XCL2,5.41E-11,1.5041075,LITAF,6.32E-29,2.0840495,LDHA,3.07E-31,2.1759765,MZT2B,1.51E-19,2.5187871
HNRNPA1,1.83E-12,0.57116234,ZNF683,1.30E-05,1.4997904,XCL2,3.08E-22,1.8545053,FAM177A1,5.14E-18,1.7032048,DCN,4.26E-11,1.924058,CD2,7.20E-11,0.84880155,ITGB2,4.73E-27,1.728239,ISG15,1.68E-30,2.4721966,SMC4,3.23E-19,3.3673258
TNFRSF18,2.35E-12,2.554328,CST7,1.67E-05,0.47489503,UBC,1.90E-21,0.95077896,NFKBIA,2.15E-17,1.1606959,CCL4,1.16E-09,1.0871103,LGALS3,8.30E-11,1.6799145,CYBA,5.46E-26,1.1680067,PI3,6.63E-30,7.016455,ACTB,1.03E-18,1.1131351
S100A11,2.44E-12,0.60914236,SH3BGRL3,2.09E-05,0.08587811,ID2,2.90E-21,1.2127137,BTG2,2.43E-17,1.5065427,FABP4,5.06E-09,2.5512078,GZMH,8.48E-11,1.3172754,KLRB1,9.91E-26,2.1725698,PTP4A2,7.96E-29,2.3397405,TUBB4B,1.20E-18,2.9260302
HMGN2,2.82E-12,1.0798283,PPDPF,9.04E-05,0.1483324,HLA-DPA1,5.70E-21,1.332023,FYN,3.41E-17,1.3936605,HLA-DPB1,6.75E-09,0.93204916,CKLF,9.92E-11,1.1239636,IFITM2,2.85E-24,1.4727567,COTL1,8.41E-29,2.2758818,DDX39A,1.22E-18,3.0572922
FLT3LG,1.68E-11,1.8847936,HNRNPA1,0.000137809,0.21893737,B2M,1.65E-20,0.23371352,MCL1,4.24E-15,1.1891282,NNMT,1.12E-08,2.7095778,ANXA1,6.34E-10,1.0424312,CLIC3,5.64E-23,3.003166,CTSB,9.75E-29,2.4515631,PTTG1,1.28E-18,3.5406518
CD40LG,2.45E-11,1.7564085,APOBEC3C,0.000226568,0.84114224,HLA-B,4.07E-20,0.38469666,B2M,5.70E-15,0.18680012,SRGN,3.72E-08,0.32741973,KLRD1,7.73E-10,1.3142872,HBB,8.28E-22,2.3621573,NDUFA3,2.35E-28,2.1686065,SNRNP25,1.82E-18,3.7030184
TNFRSF4,3.16E-11,2.663073,PPIA,0.000283652,0.27450415,PIK3R1,4.50E-19,1.5893589,UBC,7.94E-15,0.7043198,MGP,4.10E-08,1.8011763,PGK1,2.25E-09,1.0984434,GPR65,1.29E-21,2.3025599,GZMB,2.58E-28,2.7341025,RANBP1,2.20E-18,2.5828154
POLR2J3,5.75E-11,1.03483,CMC1,0.000403314,0.7420123,HLA-C,8.43E-19,0.4799903,DDX5,1.19E-14,0.70022875,CTHRC1,9.15E-08,3.101352,CAPG,2.51E-09,1.5901113,PFN1,5.95E-21,1.0590386,APOE,9.33E-28,2.8716474,BIRC5,2.37E-18,6.1423717
UBA52,6.15E-11,0.32613447,IKZF3,0.000467624,0.7561319,HBB,1.02E-18,1.7336309,TXNIP,2.07E-14,0.7709615,TPM2,9.35E-08,2.6416857,G3BP2,9.92E-09,1.5699509,HOPX,1.23E-20,1.9873374,PRKX,1.54E-27,2.811975,TK1,2.58E-18,6.2295666
SPOCK2,1.88E-10,0.93060946,XCL2,0.000809315,0.7377773,ITM2A,1.26E-18,1.346118,PIK3R1,1.02E-12,1.3666123,RARRES2,2.85E-07,2.0826166,TOB1,1.08E-08,1.7245913,PLEK,1.09E-19,3.695734,S100A11,7.22E-27,1.8544502,LSM4,2.73E-18,2.7171772
PTMA,7.43E-10,0.3130198,CFL1,0.001111348,0.015476472,HLA-DRB5,1.66E-18,2.0590787,CCR7,1.04E-12,2.3637254,CST3,5.56E-07,1.3510234,ITGA1,1.20E-08,2.19067,ID2,1.21E-19,1.4242489,IFI6,2.33E-26,2.5148401,NUSAP1,3.31E-18,5.951329
TXNIP,1.06E-09,0.53011966,PFN1,0.001638455,0.043966576,DUSP2,4.47E-18,1.650641,EIF3E,1.09E-12,0.8835733,HLA-DRA,1.20E-06,1.0762936,CD3E,1.83E-08,0.7690788,CD247,2.03E-18,1.8972447,PGAM1,5.14E-24,2.2639143,CENPW,3.54E-18,4.9900646
TOMM7,2.83E-09,0.4294301,PSMB9,0.002508827,0.27250168,RGS1,1.27E-17,1.2352985,PPP1CB,2.22E-12,1.4639779,MT1E,4.07E-06,1.6176336,ALOX5AP,2.17E-08,0.99296707,IER2,5.85E-18,1.582492,C4orf3,5.98E-24,1.9905931,TOP2A,7.46E-18,6.604386
CAPG,4.75E-09,1.2182244,RNF213,0.003419537,0.39838022,CCL4L2,3.49E-17,1.8895257,BIRC3,4.40E-12,1.4186056,ZFP36,4.61E-06,0.46720377,UBC,2.48E-08,0.7532579,CCND3,4.14E-17,1.6639013,ZNF90,1.13E-23,2.5123699,HMGB1,9.79E-18,1.9386595
CALM1,6.48E-09,0.48892376,CD3E,0.00443921,0.12279936,PTPRC,5.15E-17,0.80636907,FTH1,6.01E-11,0.28708428,CALD1,7.34E-06,2.5405364,CD52,5.42E-08,0.7787847,CD7,6.70E-17,1.3192633,GIMAP7,1.52E-23,1.9992082,UBE2C,1.08E-17,6.375853
BCL2,7.34E-09,1.5063736,HLA-DPA1,0.004812339,0.3687404,HCST,4.28E-16,0.81358325,PIK3IP1,6.35E-11,1.0238695,STMN1,9.42E-06,1.6485523,JAML,1.17E-07,1.6708695,CCL4L2,1.19E-16,2.045673,APOC1,2.41E-23,3.2729697,TPI1,1.37E-17,2.1654778
EEF1D,1.44E-08,0.3600833,CFLAR,0.0051265,0.5080905,HLA-A,3.02E-14,0.37818667,CD69,1.01E-10,0.8540204,WFDC2,5.65E-05,1.6236572,HLA-B,1.87E-07,0.28814963,HBA1,7.35E-16,2.0328453,CKLF,3.18E-23,1.9269557,LSM2,4.55E-17,2.4570887
CISH,1.62E-08,1.7256372,EOMES,0.006046866,1.2440987,TSC22D3,3.74E-13,0.8177761,SELL,1.76E-10,2.0870376,JUNB,9.44E-05,0.40061906,GZMA,3.68E-07,0.8978633,S1PR5,9.81E-16,5.2649984,GIMAP4,5.36E-23,1.9472224,HMGA1,5.49E-17,2.8596184
ZFP36L1,2.47E-08,0.8051082,CXCL13,0.006664744,2.4417014,HLA-DRA,1.99E-12,1.1612569,HLA-E,2.79E-10,0.5044724,SFRP2,0.000270142,3.2200818,CREM,4.98E-07,1.2709733,HBA2,4.92E-15,1.8324507,CD48,5.40E-23,1.8791131,TMEM106C,5.97E-17,3.496656
CD27,3.60E-08,0.88131344,CD3D,0.007983485,0.0522154,DUSP1,3.66E-12,0.9914186,PDCD4,6.39E-10,1.119656,CALM2,0.000307004,0.24116376,CD69,6.51E-07,0.7642223,UBB,1.69E-14,1.0508375,SEC61G,2.76E-22,1.957161,RRM2,6.41E-17,7.826595
CCNI,7.48E-08,0.5456427,SRP14,0.008584193,0.061838627,GZMM,4.23E-12,1.0360425,SRSF5,9.34E-10,0.82509613,TSC22D1,0.000480996,1.6717305,NKG7,1.14E-06,1.1630136,MATK,1.67E-13,1.9463576,PPIA,9.84E-22,1.8319392,ANP32B,6.43E-17,2.4693122
FAU,1.31E-07,0.2283801,ITGA1,0.008674526,1.1104218,SARAF,1.86E-11,0.6966572,ETS1,1.61E-09,0.98818076,CNN3,0.000524141,2.929791,KLRB1,1.81E-06,1.0412884,FGR,3.56E-13,4.4097586,CRIP1,1.17E-21,1.9845952,RPA3,9.53E-17,2.708286
ARPC1B,2.27E-07,0.45716712,ACTG1,0.010626679,0.07630756,HMGB2,2.57E-11,1.0183179,EIF1,2.24E-09,0.39085323,EGR1,0.000613855,1.5984092,LAPTM5,1.86E-06,0.7629206,BIN2,4.12E-13,1.5666656,EIF5A,1.49E-21,2.0444157,TMPO,1.01E-16,3.1762938
NPM1,3.34E-07,0.44479868,RAC2,0.012517433,0.14774303,IER2,3.20E-11,0.9831479,IER2,2.79E-09,0.9414759,CD74,0.000744237,0.13025373,SYTL3,1.91E-06,1.1314245,GZMA,4.47E-13,1.3089496,NOP10,2.05E-21,1.9092948,LDHA,1.08E-16,2.2474008
SUMO2,3.74E-07,0.4742638,CRTAM,0.015539276,1.1770223,SRSF2,7.13E-11,0.9203541,FOSB,3.58E-09,1.0967692,BGN,0.00076432,2.8584836,LCP1,4.58E-06,0.8348636,HCST,1.23E-12,0.93395793,HMGN2,2.19E-21,1.9784819,ZWINT,1.17E-16,6.512454
IL32,6.35E-07,0.45399058,PYHIN1,0.020951297,0.58725286,GADD45B,8.80E-11,1.42151,HMGB2,8.46E-09,0.9328912,IFI27,0.000846745,1.4106191,SPRY1,6.89E-06,2.634339,GZMM,1.34E-12,1.3059936,NDUFB1,2.57E-20,1.9222885,HSBP1,1.20E-16,2.3294296
CFL1,9.25E-07,0.31019354,PDCD1,0.021521091,0.9147579,FAM177A1,1.19E-10,1.2085208,SMCHD1,2.09E-08,1.2335165,FTH1,0.00118866,-0.05477308,LAG3,8.26E-06,1.3014823,TTC38,1.66E-12,4.0910015,RNASET2,3.50E-20,2.002512,RALY,1.61E-16,2.4375975
RAC2,9.55E-07,0.47792092,LAG3,0.023267769,0.66634446,CFD,1.55E-10,2.3195117,STK4,2.15E-08,0.80766875,FOS,0.002425842,0.38104573,S100A4,2.06E-05,0.6837917,HLA-C,6.43E-12,0.41902754,SNRPG,7.56E-20,1.8651105,SMC3,2.31E-16,2.5418496
MAL,1.04E-06,2.6086059,GZMA,0.030688235,0.28230706,HBA2,1.85E-10,1.2937969,SPOCK2,4.07E-08,1.0028384,MYL9,0.003629398,1.8642896,ANKRD28,2.72E-05,1.5602998,ZEB2,8.11E-12,2.461137,CBX3,1.29E-19,1.8937656,CARHSP1,2.82E-16,2.598193
C12orf57,2.78E-06,0.6400109,DTHD1,0.034700063,1.2952528,ANXA1,5.60E-10,0.80648667,CELF2,4.21E-08,0.9034087,CD9,0.005170506,1.5450321,SAMSN1,2.78E-05,1.0323323,TMSB10,9.48E-12,0.40934902,LY6E,2.10E-19,1.7786967,CFL1,2.84E-16,1.3483372
NCF1,3.60E-06,1.190165,N4BP2L2,0.034932171,0.1290096,MT2A,7.39E-10,0.7931329,LDHB,6.18E-08,0.7607262,ITM2B,0.005906593,-0.023783924,LEPROTL1,3.56E-05,0.75958735,APMAP,1.84E-11,1.7595882,C4orf48,2.51E-19,1.9868008,IDH2,3.19E-16,2.6111844
SOCS1,3.83E-06,0.63482136,GAPDH,0.039198347,0.06886583,FYN,8.04E-10,0.9901597,ITM2A,7.87E-08,0.8939289,GZMA,0.007436237,0.2463301,PPDPF,3.84E-05,0.6189287,ACTB,2.08E-11,0.4789401,TMSB10,3.50E-19,0.6045037,CENPM,3.44E-16,4.374227
CD4,5.02E-06,1.7508734,TRIM56,0.041330784,0.62885714,OAZ1,1.04E-09,0.5706186,EEF2,1.03E-07,0.545311,CD44,0.008322483,0.44701982,ITM2C,4.00E-05,1.0410035,NCR3,3.74E-11,2.8721964,S100A4,6.93E-19,1.1513946,PKM,3.96E-16,2.3269668
CLU,5.52E-06,0.84283483,LIMD2,0.043370307,0.2433286,LYAR,1.26E-09,1.1315032,ZFP36L2,1.74E-07,0.6249593,TUBA1A,0.008692819,0.8963821,FKBP11,5.66E-05,1.0185165,DUSP2,1.29E-10,1.5093623,TYROBP,7.68E-19,2.003252,ANP32E,3.99E-16,2.8214724
TMA7,6.13E-06,0.29336897,SYNE1,0.043845753,0.76721656,BTG2,1.95E-09,1.0463301,BTG1,2.16E-07,0.4513892,IGF2,0.010387412,2.4901724,IL32,6.74E-05,0.5556472,IFITM1,1.36E-10,1.5092772,TYMP,8.20E-19,2.035942,NUCKS1,4.92E-16,2.2622325
VAMP8,6.57E-06,0.49521172,GTF2I,0.05185224,1.0388101,CMC1,2.26E-09,1.2752478,PTGER4,5.27E-07,1.1724961,CCL5,0.012758962,0.32942,MSN,7.47E-05,0.82312876,CDC42SE1,2.33E-10,1.6351081,SAT1,1.42E-18,1.7548783,VDAC1,6.07E-16,2.453144
NABP1,9.18E-06,1.1162248,FABP5,0.056557874,0.9705087,HERPUD1,4.21E-09,0.91355336,PFDN5,6.21E-07,0.35140538,ANXA2,0.013855018,0.51092446,ARHGDIB,7.92E-05,0.53755486,MYL12A,3.55E-10,0.7466156,STOM,1.80E-18,1.9720763,CDKN3,8.80E-16,5.7062855
RHOH,1.40E-05,0.67395097,PTPN6,0.072508699,0.67085046,SYTL3,4.47E-09,1.1869766,CCNL1,1.44E-06,0.8821289,CD69,0.01414284,0.2125108,EVL,7.95E-05,0.701196,C12orf75,3.74E-10,1.4075719,DUSP2,3.32E-18,1.9898179,TPM4,9.33E-16,2.4698672
PFN1,2.12E-05,0.27017948,HLA-DRB1,0.073736899,0.30648223,KLRG1,9.11E-09,1.346964,CD40LG,1.85E-06,1.5185658,ID1,0.017076661,1.8766603,PFKFB3,8.39E-05,1.7424359,CD300A,6.77E-10,3.1624858,UQCR11,4.92E-18,1.5985422,YBX1,1.10E-15,2.016551
ANKRD12,2.65E-05,0.54336,MMP7,0.073871061,1.193338,DNAJB1,1.27E-08,1.0860846,EVI2B,2.27E-06,0.8840754,RBP1,0.020304562,1.3409172,CHST12,0.00011341,0.88921726,ARPC2,1.15E-09,0.7837602,NDUFA13,5.37E-18,1.7733538,TALDO1,1.33E-15,2.4975398
TNFSF13B,3.14E-05,2.221879,HLA-DQA1,0.075739597,0.832365,UBB,1.68E-08,0.6000722,LAPTM5,2.79E-06,0.5254536,ID3,0.022498863,1.5932927,LSP1,0.000132595,0.63958657,AREG,1.18E-09,2.295894,FCER1G,8.20E-18,2.5187984,ETFB,1.65E-15,2.3599062
PGAM1,3.15E-05,0.8854908,CD2,0.08772528,-0.001440688,SRSF5,2.13E-08,0.70620084,TSPYL2,3.73E-06,1.4659184,TM4SF1,0.034003813,1.5342745,PTGER4,0.00013585,0.9914736,SRGN,1.46E-09,0.70975256,FLOT1,5.73E-17,2.2726908,SLC25A3,2.13E-15,2.2420287
CCND2,3.95E-05,0.9230665,RASGRP1,0.088205217,0.54997116,SRSF7,3.12E-08,0.7390694,RORA,3.86E-06,1.0330639,TPM1,0.036029716,1.5142529,SERP1,0.000161275,0.6982437,TPST2,1.67E-09,1.966593,GLUL,6.96E-17,1.8232843,MCM7,3.13E-15,4.159508
DNPH1,4.13E-05,1.1829842,HLA-DQA2,0.090685274,1.7569726,ISG20,4.37E-08,0.74290156,SYTL3,4.10E-06,0.98176336,SPARCL1,0.037320688,1.7850313,DSTN,0.000161566,0.8650918,ADGRG1,2.58E-09,4.033968,LGALS3,8.05E-17,1.9893043,DNAJC9,3.30E-15,3.1257055
COMMD6,4.34E-05,0.36764848,CCL3,0.090707928,0.5951687,MCL1,5.46E-08,0.79051024,TGIF1,6.15E-06,1.5492283,VCAN,0.037501292,2.80375,PARP8,0.000170218,0.95781016,B2M,2.85E-09,0.17698286,KRTCAP2,3.18E-16,1.7220838,NUDT1,6.71E-15,2.8534093
BTF3,5.46E-05,0.31819314,NDUFC1,0.092999664,0.4800036,MATK,9.24E-08,1.2839124,TMEM123,6.67E-06,0.9736936,AEBP1,0.038631168,2.5624356,PTGER2,0.000203589,1.0839759,RAP1B,2.97E-09,1.5140878,UBL5,3.43E-16,1.5908284,KIF22,7.29E-15,3.3879645
CKLF,5.52E-05,0.46392292,CLNK,0.102135771,2.6344566,CD69,1.27E-07,0.6977166,SLC2A3,8.81E-06,1.0749931,VIM,0.044371473,-0.016961556,MYH9,0.000211262,0.85951436,EFHD2,5.89E-09,2.111199,NUPR1,3.67E-16,2.5834324,HMGN2,7.64E-15,2.29053
COX7C,6.50E-05,0.31684953,GZMM,0.107894293,0.23967865,ITGB2,1.56E-07,0.71359104,FAU,9.61E-06,0.24883075,HLA-A,0.050760447,-0.1619361,APBA2,0.000252047,1.5290008,XBP1,1.18E-08,1.2658015,RAP1B,4.38E-16,1.7931805,DNMT1,9.58E-15,2.4612749
OCIAD2,8.29E-05,0.5815634,MDM4,0.110786775,0.56706756,DCN,1.60E-07,1.1543113,NR4A2,1.03E-05,1.0012815,KRT17,0.051607622,1.9969394,ACAP1,0.000253845,0.61758095,MT2A,2.47E-08,0.90483,CHCHD10,4.41E-16,1.808657,LSM5,9.98E-15,2.310926
RORA,8.69E-05,0.7322554,ARAP2,0.112955576,0.5931246,TUBA4A,3.09E-07,0.7715896,SYNE2,1.03E-05,0.8980536,ATF3,0.060350328,2.0208132,NDUFS5,0.000260794,0.6577774,MAPK1,3.01E-08,1.8588833,OAS3,6.25E-16,4.109114,SNRPB,1.18E-14,2.208614
ANP32B,8.82E-05,0.60726124,CCL4L2,0.119885104,0.39737183,FABP4,3.47E-07,1.9811016,GADD45B,1.13E-05,1.0780683,SERPINF1,0.062313575,1.7371231,CLEC2D,0.000270844,0.73210394,CX3CR1,3.06E-08,6.0712123,NCF1,1.03E-15,2.15644,MCM5,1.56E-14,3.9891305
COX5B,9.73E-05,0.40363473,IL32,0.124825679,0.16651209,MYL12A,3.55E-07,0.47365984,CIRBP,1.30E-05,0.51022273,EIF4A2,0.063875337,0.17266643,NR4A2,0.000317145,0.9147182,MYO1F,4.03E-08,1.3031229,MT1G,1.16E-15,4.339544,SNRPG,1.96E-14,2.1845639
MZT2A,0.000109114,0.5789726,HNRNPH1,0.13131402,0.41473207,PRF1,3.83E-07,0.84659886,ST3GAL1,1.44E-05,1.312512,MDK,0.064644724,1.0779345,CYTIP,0.000329063,0.6315074,ABI3,4.98E-08,1.5776911,PSME1,1.28E-15,1.5524639,MRPL51,2.02E-14,2.162559
RNF213,0.000113815,0.5196352,LCP2,0.137907654,0.45179594,MGP,8.48E-07,1.1964258,CD53,1.57E-05,0.627119,LAPTM4A,0.069448134,0.7357463,CD55,0.000334632,1.2917329,SERF2,7.86E-08,0.5082572,HNRNPA1,1.53E-15,1.4320822,GNG5,2.48E-14,2.1290336
PLP2,0.00011421,0.4774554,PTPN7,0.140310363,0.28750277,LITAF,9.42E-07,0.83439344,EVI2A,1.75E-05,0.9613697,SFRP4,0.070817745,2.3299136,SRSF2,0.000403547,0.6676444,IGFBP7,1.01E-07,1.4003357,RNF213,1.89E-15,1.6163781,CDK1,2.52E-14,6.4257603
LAT,0.000120356,0.5852833,S100A1,0.147512553,1.1813155,IL32,9.84E-07,0.53696895,HNRNPUL1,1.76E-05,1.0266081,CRABP2,0.076619786,2.0715258,SH3BGRL3,0.000455559,0.4959131,MBP,1.08E-07,1.2725899,CXCR6,2.02E-15,1.8341699,PSMB6,2.62E-14,2.2622213
ENO1,0.000124925,0.3910763,GSTP1,0.1572817,0.16579138,DDX5,1.12E-06,0.47718814,TRAT1,1.90E-05,1.0291637,HLA-DPA1,0.099202143,0.33247057,HERPUD1,0.000472188,0.7034691,PYHIN1,1.63E-07,1.3592298,AIF1,2.09E-15,2.6566927,PHF19,3.40E-14,3.8738675
CD3G,0.000128833,0.45705447,PGAM1,0.15748097,0.4239768,STK17A,2.05E-06,0.6778629,CNOT6L,2.16E-05,1.0719556,COL5A2,0.099488086,2.465954,RUNX3,0.000481437,0.82909644,YBX1,3.19E-07,0.8245526,ROMO1,2.72E-15,1.7629684,CCT5,3.50E-14,2.5657184
ACAP1,0.000131244,0.3949029,DDX17,0.160705489,0.24850887,IFI16,2.53E-06,0.70513666,ELF1,2.46E-05,0.7762208,HLA-B,0.101838248,0.017730514,CLU,0.000510929,0.8925735,CD63,3.49E-07,0.91510904,NAA38,2.94E-15,1.7849045,COTL1,3.54E-14,2.2306728
ARID5B,0.000133555,0.75011736,CXCR3,0.162015286,0.38740718,CALM2,2.92E-06,0.52289575,PPP1R15A,3.54E-05,1.0451943,IGFBP7,0.102721082,0.71786606,CTSA,0.000512417,1.0296457,HSH2D,3.56E-07,2.977213,GNLY,3.69E-15,1.9782755,PMVK,3.63E-14,2.6300783
EMP3,0.000148283,0.40382606,CD24,0.165356036,0.9489656,PPP2R5C,4.51E-06,0.6189853,PDE4B,3.73E-05,1.174174,PTPRC,0.103019979,-0.15547945,CLIC3,0.000515498,1.1405752,FCRL6,3.58E-07,2.2490408,PSMB9,4.18E-15,1.5287707,TUBA1C,4.16E-14,3.2649403
COX4I1,0.000153159,0.2699263,DAPL1,0.17732922,1.4962329,TNFAIP3,4.66E-06,0.8825923,ARHGDIB,3.95E-05,0.38320833,OLFML3,0.105291298,2.8807516,PTPN22,0.000522031,1.1211303,CALM1,6.46E-07,0.7121589,CTSD,4.77E-15,1.6378851,SLBP,4.66E-14,2.8303993
DDX17,0.000153633,0.5557311,ZFP36L2,0.180196196,-0.09203491,CNOT6L,4.69E-06,1.0944072,ITK,3.97E-05,1.0762688,COL5A1,0.114227041,2.6837287,PABPC1,0.000558901,0.49846524,GSTP1,7.05E-07,0.90742487,YWHAH,6.12E-15,2.1871626,PSMC3,4.96E-14,2.3904896
