Mouse1_NSD	Mouse2_NSD	Mouse3_HSD	Mouse4_HSD
0	0.113909735786985	0.278796954948209	0.218273112139411	0.250031113876789
1	0.507453480004112	0.00074878322725571	0.00571034754356601	0.000248911014312383
2	0.0726842808676879	0.175589666791464	0.189622920153589	0.169383945239577
3	0.0274493677392824	0.052290028703357	0.0860490302254603	0.15718730553827
4	0.0283746273259998	0.0446773992262573	0.106625972235896	0.0984443061605476
5	0.0376272231931736	0.101959316111319	0.0941222802008467	0.113254511512134
6	0.00627120386552894	0.0041183077499064	0.00974697253125923	0.0109520846297449
7	0.00606559062403619	0.015350056158742	0.0518853992320567	0.0385812072184194
8	0.0395805489873548	0.0350680144764757	0.0266811066259722	0.00560049782202863
9	0.0558239950652822	0.0731311618619743	0.0720685241705228	0.0384567517112632
10	0.0429731674719852	0.0394359166354674	0.0419415181648124	0.0293714996888612
11	0.00668243034851444	0.0182203918632223	0.0174264054346756	0.0191661481020535
12	0.0511976971316953	0.151503806314739	0.0684257162547997	0.0614810205351587
13	0.00390665158836229	0.00911019593161113	0.011420695087132	0.00784069695084007
