Fairfax_response_down_responder	Fairfax_response_up_Non_responder
YIPF2	MIER3
DEAF1	POC1B-AS1
ABCF1	SMIM15
PHF13	CEP97
AC005912.1	SFT2D2
ESYT1	EMB
TIMM23	N4BP2L2
LLGL1	EXTL2
TSEN54	KRR1
DNAJC14	AC114980.1
S100A10	AC009950.1
CEP89	STK38L
LSM4	LINC00861
C10orf143	PCNP
SLC25A1	NAA30
SGF29	MEGF9
ZNF319	MIER1
CD3D	DLEU1
ATP6V1F	NAA25
PPIB	THAP9-AS1
STK10	ANGEL2
SNRPC	ZNF224
MIS18A	PTEN
TBC1D10B	AFTPH
LCK	NUFIP2
VOPP1	TMEM123
MEI1	UBE2E1
NUP62	PGM3
MRPL40	EBLN2
RRP7A	CMPK1
SCRN2	PURB
HAGH	ZNF431
ATP2A3	YAF2
MED27	LANCL1
FANCE	MPP5
UQCR11	AC093495.1
STOML2	NFAT5
SELENOH	AP5M1
COMMD5	AC024075.2
BAHD1	CNEP1R1
MED11	FAM8A1
COX8A	FAM160B1
ZSWIM4	AP1S3
TMEM141	AC107027.3
CDIPT	PUS10
TSSC4	JAZF1
TSHZ1	CAPS2
SAE1	MYSM1
OPTN	DTWD2
LSM10	AC073585.1
NUP93	PMS1
SLC27A4	RPE
WDR54	ARPP19
SNRPG	ZBTB25
APEH	CUL4B
SMPD4	ZNF92
SH2D3C	ZNF207
GPAA1	AC007406.5
MRPL24	LMBR1
TCEA2	CUZD1
RNF113A	CRYGS
PPP2R5B	TRNT1
TSPAN17	TET2
TOB2	CREBRF
MOB2	RAP2C
SIPA1L3	OTUD6B
PARK7	SLC22A5
RABEP2	CBWD6
CIAO2B	VCPKMT
SDHA	CARF
RNF25	CD58
CREB3	NR2C1
LSP1	QSER1
THAP7	H4C8
DDOST	MTMR9
KLHDC3	UBE2D3
RPS6KA4	AC006333.2
GPS1	RFXAP
UBE2J2	LYPLAL1
PAFAH2	FBXO22
SLC52A2	UHMK1
HSD17B8	BTLA
ELOVL1	AC132008.2
C19orf25	AL117379.1
WWP2	AC024075.3
COX6B1	BAZ2B
ZNF346	MIGA1
RALBP1	ZNF138
NOC4L	AC104447.1
KDM8	SMIM8
ZNF787	STX7
ZNF211	MANEA
RBMX2	MREG
PARP1	ODF2L
UBL7	MSS51
ZNF276	CD55
SSRP1	OIP5-AS1
TNFAIP8L1	RNF149
NELFE	FLACC1
PYCR3	DIMT1
TSC22D4	ANKRD49
EMD	ZNF654
TOR2A	FANCB
FBXO31	RCOR3
TPI1	GALNT7
FIS1	CLEC2B
KDM7A-DT	TC2N
PUSL1	SSR1
NSMCE3	UBA6
SLA	RAB21
POMGNT2	VPS29
IMP3	SIKE1
PNMA1	ZNF124
ELP5	AC020917.4
PPP1R10	KLHL24
NOC2L	FBXO3
SCYL1	ZFP14
VAT1	EXOC5
APEX2	JAK2
NUTF2	AC135050.6
NFATC2	MYH10
TRAF2	COPS2
REPIN1	GCC2
PPT2	THOC1
CNNM3	ATG12
KLHL21	MRE11
RBM15B	TBC1D23
FYN	LARP4
C12orf65	LEPROT
ISG20L2	TMEM126B
SPRYD3	TWISTNB
EIF5A	RLIM
GPANK1	CACUL1
FIP1L1	GSKIP
MRPL46	MBNL1
SETD1A	AL391834.2
LARS2	MBLAC2
USP30-AS1	C5
CHCHD5	SAMD8
CD6	ATP13A3
MAGED2	TMEM87B
VPS18	ZNF770
NAGLU	FAM214A
CHERP	DCAF16
THAP3	CDK6
UBL5	ANAPC4
HTRA2	ELOCP19
TBCC	TP53INP1
TSPOAP1-AS1	CCDC125
NENF	DPY19L1
BTD	CEP85L
SPTAN1	MZT1
ZFPL1	RNF146
MAST3	LMAN1
AC115223.1	ZMYM2
RNASEH2C	PIGB
AGPAT1	LAMP2
XRCC1	HAUS3
LRRC14	HACD4
FAHD2B	ZBTB18
MED9	MBNL3
MRPL18	SELENOI
NT5C	LUC7L2
TMEM229B	PPP4R2
RIC8A	COX11
LOC102724159	TMPPE
EMC9	RBM25
PTPA	CREBZF
TAF6	TUG1
MRGBP	ZDBF2
FAM3A	CHMP2B
PACS1	CMTM6
ITGAL	MIB1
ELOF1	RPS6KA5
P2RY8	ZNF714
GPATCH3	ZKSCAN8
UNC45A	MDM2
SH3BP5L	E2F5
ECSIT	TMX1
PBDC1	CCNJ
PMS2P1	ATG14
COPS6	PCBD2
SHARPIN	HINT3
B4GALT1	ZYG11B
ZNF622	RIMKLB
VPS25	ZNF10
URM1	ACSL4
AAR2	ZNF674
COQ8B	MOSPD1
TAF6L	BRWD1
PYCR2	ZNF280C
NMT2	TIA1
PPP4C	UBA5
PFN1	ACAP2
GTF3C5	RNF13
ZBED1	TARDBP
PFDN1	AC004148.1
CD247	LTN1
TNRC18	FNIP1
SMPD1	INSIG2
GTF2E2	ETAA1
SLC25A25	C18orf54
BAK1	RB1
MVK	METAP1D
SLC44A2	MOB1A
MRPL49	LRRC40
TBL3	N4BP2
UQCRFS1	FAM122B
RRS1	RPRD1A
NCAPH2	SCYL2
SLC25A22	ZNF700
PPIH	NFE2L3
FZR1	ZNF780B
ARHGEF19	MX2
CTDSP1	SEPTIN7-AS1
DVL2	TTC32
ACTR1A	CGGBP1
ZNF227	FER
POLRMT	YPEL5
RRP9	TFAM
GET3	PHF10
RPL13P5	RASA2
SLC35B2	IQCH-AS1
MRPL2	AL392172.1
TMEM179B	PPIP5K2
ATP6V1E1	RBM7
HNRNPUL1	SLC36A1
NTAN1	RAB14
MEF2D	LPGAT1
ALDH16A1	MTMR6
HPCAL1	ZNF91
NMT1	DMAC2L
TNKS1BP1	BCAP29
HNRNPA0	RADX
AP4M1	CEP170
PSME1	XPO4
PSENEN	RPL17
ITPKB	C5orf51
FAM189B	AL359076.1
APBA3	PPP3CB-AS1
EFL1	AMD1
NELFA	SC5D
NLRX1	LNPEP
PPP1R11	FASTKD2
EIF5B	SRSF10
UBIAD1	ECHDC1
COX14	EVI2A
TRIM11	CCNT2
ILRUN	CLOCK
NECAB3	MARCHF6
TSTA3	SYPL1
DHRS11	VAMP7
PINX1	SLC10A7
MADD	TMPO
ANXA2R	FANCM
ZFP64	ZNF273
SNRPF	CCDC7
IFRD2	BTF3L4
SMARCA4	KLHL15
MTA2	ZNF8
PRKCQ	ZNF678
TM7SF2	TSNAX
ZNF324	NDUFA5
SLC37A1	TPT1-AS1
ARHGAP35	ATP11C
TNIP2	THUMPD3-AS1
MECR	TMEM181
IL10RA	DIPK2A
ARHGEF18	POLK
UBXN1	CCNYL1
ZNF598	TRUB1
NOP14-AS1	WDR41
CCDC97	TAOK1
OCIAD2	XIAP
RPS2	KBTBD8
TBC1D10C	FAM66C
CCT5	CEP44
ZC3H18	SLC25A30
TNFSF12	KATNAL1
VRK3	CCDC126
RCE1	FAM135A
DNASE2	AC090198.1
TKFC	CHORDC1
TOE1	ZNF81
TSFM	SCLY
SPAG7	ZNF33A
SF3B4	ADAM22
TRIM28	SMNDC1
CHIC2	MCM3AP-AS1
DAXX	TENT4B
PSMB8	HERC5
SLC25A19	FBXL4
KDM4A	LRRC8B
ZNF263	CREB1
POLR2E	EOGT
TRIM68	NAPEPLD
FRG1	RUFY3
IFT43	AC083798.2
INPP5K	ZNF280D
GTPBP6	ATAD5
C7orf26	FBXL3
KHSRP	FAM24B
NOMO2	UHRF2
UBAP1	APPBP2
CLSTN1	HIPK3
INTS9	MSMO1
ARHGAP45	SLC25A32
EIF5AL1	ZMPSTE24
UBE2O	ZNF43
PARP10	LCLAT1
PCGF1	FBXO28
HLA-F	ZBTB33
RAB11B	ST8SIA4
CDK11B	NXT2
ARF5	STXBP4
DDA1	KDM7A
ARHGAP25	AL662795.2
SPOCK2	RCBTB2
DCTN2	RSBN1
RNF4	SLC35A1
TRAPPC2L	DNAJC3
C11orf95	ZNF720
WDR24	FASTKD1
ARMC5	RIF1
PRAF2	SHLD3
ZNF324B	CSGALNACT2
NUBP1	SLC38A9
PES1	TNKS
DOK1	TARBP1
IL12RB1	ZFAND5
DHX30	EDEM3
SH3BGRL3	STRADA
NDUFS7	ERP27
LYPLA2	GCFC2
MCRS1	DHX36
RANGAP1	GDAP2
FAM78A	PRPF39
STK40	PIK3C2A
AP1M1	AC245060.4
PDE6D	ODR4
PPP1R18	MKLN1
EXT2	UBE2K
TMEM183B	NUP58
BIN1	AF131215.5
FPGS	NA
C6orf47	DBT
LMAN2	AC010186.3
GNPTG	ZMYM5
PDZD11	ZMAT3
LY9	RUFY2
FAM50A	PPP4R3B
POLR3H	AC006064.2
TCOF1	ITPRID2
ZER1	PTBP3
TCF20	STK17B
MALSU1	IRGQ
ACO2	ANKRD26
FLOT1	CRYZ
ZSCAN2	VPS54
ATP5MF	CCDC18
ZBTB4	SNHG20
CNOT3	CNOT7
RTCB	NA
CFDP1	AMMECR1
RNPEPL1	C14orf28
SMIM29	C12orf29
OTUB1	HIF1A
ZNRD1	AKAP11
ATP13A2	ZNF451
TXN2	CAB39
CARD11	SNX13
ABT1	FBXL5
AATF	AC093752.1
ZNF77	HEATR5A
CCDC92	RYBP
ATAD3A	CYCS
UQCRQ	HSPA13
CNPPD1	SLC33A1
GNL1	NADK2
PXN	CELF2
CAPN1	CTDSPL2
TMEM9	GTPBP8
TRBC2	NIPSNAP3A
TMEM184B	CPNE3
TMEM101	UTP15
ABHD14B	MYNN
RAI1	BNIP2
NDUFS2	BCLAF1
MRPS7	BARD1
CD8A	ZDHHC13
EIF2B2	DNM1L
PEMT	DRAM2
PITPNM1	SENP7
ARHGDIA	ZNF292
DTNB	ZC3H6
ARHGEF3	BLOC1S6
B4GALT3	CRIPT
ECHS1	AP003486.1
POR	MED4
PWWP3A	CCNG1
PTDSS2	TRMT1L
MAD2L1BP	C2CD5
NUDT22	PSMA2
FIZ1	ICE2
PYGO2	ZBTB11
LINC00869	EEA1
RABEPK	SGK3
INPP5B	ATF2
BRPF1	DENND6A
PIN1	NRAS
FBXL12	ZNF248
PTPN18	SUZ12
TRPV2	PSMA1
AP2M1	TXNDC16
DNAJC17	ZNF789
PINK1	PRKAA1
PQBP1	PRRC1
CDPF1	MDFIC
RPA1	SLC19A2
CES2	ANKAR
ACP2	RBMS1
INPP5D	MEF2A
DUS3L	RBAK
DGUOK	ZFP91
COPE	CYB5R4
SUFU	SACS
BTBD6	SLC30A9
ORMDL2	LRRC37A16P
BIN2	MON2
TAP1	PRKACB
TBC1D14	ZEB1-AS1
CANT1	SYNJ1
PSTPIP1	STAM2
HTATSF1	SOCS5
SDF2	SERP1
SNRPA	STX16
CALM3	METTL4
PSMD4	CERT1
HNRNPM	MBTD1
KLF13	SRP19
SSR2	TGDS
MGAT4B	TMEM237
CCDC115	SNAPC3
HDGF	SCARB2
PSMD3	CUL5
ST3GAL2	SUB1
MDH2	SLC11A2
AIFM1	AC084824.1
SCAMP1-AS1	EMC2
FERMT3	ZXDB
MGAT1	PBX3
EBP	SLC35A5
MLLT1	SNTB2
NCDN	TMBIM4
ST3GAL3	KLHL8
DCP1B	MTAP
NAGPA	ATF7IP2
CERS2	VPS13C
WDR13	PRPF4B
SREBF2	TPRKB
CHMP2A	ZNF639
LSM1	NSUN3
TRIM14	PPTC7
XPC	TTC28-AS1
GUK1	CRLS1
PLOD3	EED
PREX1	ARIH1
RFX1	ZNF284
GEMIN4	SNRNP48
SMYD3	NAA50
ADIPOR2	STX12
EIF3I	FRS2
PGLS	BAG4
TELO2	CNIH1
CCT3	UMAD1
RNF5	FAM126A
CD3E	TMEM267
ZNF74	SACM1L
NFATC3	JMY
IK	GPATCH2
TBCD	MAP4K5
UPF1	SPAST
LIMD2	HECA
IMPDH2	APH1B
ACOX3	PURA
MRTFA	PLEKHA3
SRA1	RNF170
ABHD12	USP49
CLPTM1	EXOC1
CTNS	PAN3
RTL8A	WTAP
NFE2L1	XPNPEP3
NR1H2	AL096816.1
DGKZ	CYLD
ECH1	RAB1A
HSP90AB1	ORC4
WDR46	PM20D2
RELA	PAPOLA
VCP	GORAB
FBXW4	PGRMC2
ZC3H3	CHD9
PEF1	MFSD4B
ING4	SLC2A13
SCNM1	ZNF484
SLC43A1	STRADB
NASP	ALG9
MIER2	PPP2R3C
REXO1	TMED2
ZFAT	CDC37L1
TRAM2	SECISBP2
CHCHD2	ARL10
FDPS	RPS6KA3
HNRNPF	YIPF4
FLOT2	RHOT1
POLD4	ANKRD12
IPPK	ZSCAN30
UQCRC1	SYNCRIP
THOC6	SPPL2A
PRPF31	NBPF12
NACC1	CD46
PHB2	ARL14EP
WDR81	PDE8A
VARS1	ZNF512
EID2	TAPT1
ALKBH3	SLC35B3
DALRD3	TRPS1
GSK3A	TMEM68
TEX264	CCDC66
FASN	ZNF800
POLA2	ZNF141
PPP6R1	PTCD2
PSKH1	RAB3IP
TMEM222	SUCO
KRBA1	EFCAB7
AGAP2	C4orf46
CARM1	ARHGAP12
MMP24OS	PSTK
YARS1	ORC2
NOA1	DNAJC10
PSPC1	TAF1D
KMT5A	TWSG1
ACLY	SAR1B
TAF3	PYROXD1
EIF3K	RRP15
ATG2A	CNOT6L
SLC35A4	COX16
MED29	IREB2
MRPS15	PLEKHF2
SF3B2	TMEM243
SLC7A6OS	SIAE
COMMD7	CRYZL1
RHOBTB2	GPD2
PIGT	MSL3
GCDH	MAGT1
GRHPR	LRIG2
SLC39A7	GUF1
PIGS	AP1AR
MRPL33	AC093157.1
RUSC1	PNISR
EIF3F	DR1
TMEM129	ZNF254
NOP56	CSNK1G3
ZSCAN16	ATP6V1C1
C6orf136	NA
ZCCHC17	ABRAXAS1
EDC3	AC015813.6
CDC37	UBE2V2
CREB3L4	RAB33B
TMCO4	MPP6
EPN1	FAM172A
BRD2	GLCE
ERF	ZSWIM6
TMBIM1	ABCE1
USP39	DESI2
CAPNS1	SSX2IP
CHTF8	TMEM30A
XRCC6	DNAJC24
PPP3CC	PHF20L1
ABHD4	COA5
AP5Z1	AL604028.1
EPS15L1	ZNF548
ZHX2	CAPZA1
BUD31	IDI1
NDUFB9	DMTF1
ANKRD27	PRKAR1A
SERF2	YTHDF3
CD2BP2	FAM102B
PTBP1	POC1B
NIPSNAP1	PPWD1
CAMK1D	NOL11
DGCR8	CNOT6
PTPN1	TRAPPC13
IKBKGP1	SREK1IP1
ST6GAL1	LMBRD1
STOML1	C5orf15
GATAD2A	MPHOSPH6
STIM1	SLC38A2
ANKRD16	MALT1
HMGCL	PRPF40A
KCTD2	SHLD2
POLDIP3	PRKCI
ZNF362	ZNF449
EDEM2	CLN8
ACAD9	ASAP1
PRICKLE3	SEL1L
JADE2	SELENOF
DDX41	COMMD8
BCAP31	CBX5
PHB	ATP11A
STRIP1	ZNF148
UBQLN4	KRAS
FAM117A	EIF2AK3-DT
DIAPH1	WDR75
RGS14	ERGIC2
PDCD7	SERAC1
ZNF792	REST
CTDNEP1	GPATCH2L
SCAMP4	EBLN3P
MFSD5	LYRM1
BRD3OS	SMCHD1
DHX16	TM2D3
ERP29	TBCEL
VKORC1	TENT2
ZNF511	LLPH
NCLN	HMBOX1
TOLLIP	GPCPD1
KATNB1	AC008124.1
MED22	GAR1
APOBEC3F	RPGR
ABCF2	ANKRD44
APEX1	DDX52
PMM1	SUCLG2
MIPEP	SLC12A6
TPRG1L	ALG13
YIPF3	KLHL42
RPS6KB2	G3BP1
BET1L	ARPC5
BRD3	AGL
POLG	SUGT1
IP6K2	IDE
AARS1	RNF11
KDM2B	XPO1
SLC38A10	MAPK8
FLNA	EID1
PEBP1	GNA13
GNA12	ADAM10
MIF4GD	KBTBD3
KIF1C	AASDHPPT
WDTC1	MSI2
LANCL2	MCL1
CC2D1A	ATL3
FGD3	STXBP3
PSMB7	C4orf3
UBE2Z	MAN1A2
OGFR	ZNF587
NFKBIL1	ZNF286A
MYH9	CREBL2
TMEM104	ZNHIT6
TIMM50	MTERF1
VPS72	COMMD3
RPN2	SSR3
PANK4	CALM2
DTNBP1	AC104825.1
CASP9	TAB3
KAT5	DYNC1LI2
GATB	DPH3
CCDC137	RAP1A
NRF1	ERI1
ZNF544	NAF1
NCOR2	DCAF17
ARFRP1	ANKRD10
IDH3G	NOC3L
TIMM22	U2SURP
HDAC1	SLC30A6
DNMT1	SERPINB8
FOXO4	LRRC8C
RAD23A	NCBP1
STK25	RSL24D1
THRAP3	LINS1
CCDC22	TRIP11
TANGO6	ARF4
TRAPPC4	WDFY2
GRK6	PLPP5
DCTN3	FASTKD3
GPSM3	AKAP9
VARS2	ABI2
TMED9	CCDC186
GPR108	VPS50
ARHGEF2	USP16
SNX17	HMGN3
GYS1	APPL1
KANSL1	ANP32E
SH3BP1	POGLUT1
APH1A	CISD2
UBE2L3	YIPF6
RPL41	ZNF655
CCM2	TOR1AIP2
ENO1	C2CD2
MGRN1	NEK7
LSM14B	ZFAND1
PSMF1	DCTN4
CD99L2	PPP1CC
ATP6AP1	IPO7
HAX1	ATG4C
DNAJB2	GORASP1
MYPOP	CELF1
ERI3	AC005332.6
PRKCH	SINHCAF
PSMD2	SLC26A2
MRPL4	NECAP1
SMG6	SMC5
SETD3	ZNF84
SLC66A2	ACTR6
PORCN	SOS2
PKD1	PPM1A
SH3GL1	METTL8
SURF1	FUBP1
ZNHIT1	SLC39A8
TRAF3	RAB10
EMC8	PPP3CB
SETMAR	TEX10
TRIM62	SEC63
ATRAID	CCDC6
LONP1	PIGN
TSG101	ANAPC13
TAOK2	UBXN4
LRRC47	RAB2B
RNF40	PDE7A
CYB561A3	DCTN6
RASA3	NT5C3A
CNNM4	COX18
WIZ	FGFR1OP2
UFC1	NCOA2
KRI1	GPALPP1
DHRS4-AS1	HSDL2
ATP5PD	BRAF
MED25	TMEM184C
AKAP8L	PSMA3
KCTD17	GTF2IP4
ZNF287	STRN3
IPO13	RIDA
MMAB	MAN2A1
DAG1	VAPA
ACTR1B	TRAPPC2
CORO1A	TMED8
SNUPN	ATF6
ATF6B	EXOC6
TYW1	MARCHF7
MRPL43	SEC24A
TOR3A	ACYP1
RAB11FIP4	ZNF25
C1orf109	NUDT4
CUEDC2	UBXN2B
TBC1D25	DNAL1
COA4	SHOC2
RNF123	TBC1D15
CCDC69	CLK4
STK19	SRSF1
ATXN7L2	GFPT1
RASSF5	GMCL1
PEX16	VIM
AL118506.1	ZFAND6
AP5S1	VPS26A
L3MBTL2	IRAK4
DOT1L	C16orf72
DNAJC9	EGLN1
BMS1	MGAT4A
RPUSD3	TMEM260
CACTIN	DNAJC27
CFL1	ATP11B
GCC1	TMF1
NF2	AKAP7
U2AF2	GOLPH3L
HSP90AA1	THUMPD2
MYO18A	SEC22B
NDUFAB1	TUBE1
NRBP1	TMEM128
HSF1	MED28
TIMM17B	RNF2
SNW1	OTUD3
HSPA8	SMARCE1
WBP2	UBXN7
HECTD3	RPGRIP1L
IFT52	C2orf49
GNB2	PGM2L1
MARCHF8	ATG2B
ARHGAP30	TYW3
VAV1	VIM-AS1
IMP4	CGRRF1
ZNF646	NDUFAF6
CYTH1	ZUP1
USP5	MPP7
STX5	USPL1
TMEM219	HNRNPA3
SLC9A1	SP110
ENSA	MTPAP
COMMD1	AGPS
MVB12A	AGO2
EML3	CYP2R1
DCAF11	HAUS6
BSDC1	SETDB2
DPP9	FBXL20
TRIM26	AFF4
PIK3R5	FYB1
ERAL1	PPP3CA
TAF10	RANBP6
GRAP2	TIAL1
NUCB1	RALGAPA1
EIF3G	NDC1
BAG6	ATP6AP2
PCCB	ULK2
DRG1	RPP14
AAMP	ARMC10
CAMSAP1	HNRNPH3
GALE	LIX1L
BCAS3	STXBP5
SAP30BP	TM2D1
G6PC3	CEP57L1
SMYD4	RC3H2
DGCR2	EVI2B
IFT46	PLA2G12A
RING1	SOAT1
HLA-C	NEPRO
FAAP100	NUS1
C1orf50	WDFY1
SMARCD2	COX10-AS1
DHRS7	PSIP1
COA8	XRCC4
PRR14	MAGOHB
MAPKAP1	TIPRL
PPIA	PRELID3B
USP11	PICALM
RRP36	C3orf38
SZRD1	CHD1
ERG28	SLX4IP
COG4	WDR26
GTF3A	RNF125
NOL7	LSM8
NECAP2	SNX27
BFAR	TMEM209
DHX37	CDC42SE2
VAC14	ZNF684
POLR2H	DNAJC25
FBRS	ARL6IP5
MRPL16	ACOX1
CYB561D2	PCBP1-AS1
CEP72	DEK
SH3KBP1	PCNX1
MTG2	IMPAD1
RAC2	TRIM13
SAP130	LINC00662
PRPS1	PARP11
PDIA4	CCNT1
DRG2	EEF1AKMT2
GMEB2	ZBTB34
EHMT1	UBLCP1
UBTF	MANBA
VPS26B	DDHD2
MKNK2	OTULIN
FOXK2	HMGB1
ELF4	CLASP2
POLR2G	ATP2C1
NDUFS8	SPAG16
RNF8	MTPN
CNPY4	USF3
LCMT1	TMEM167B
PRMT5	RYK
DEPDC5	NUDT21
SRRT	UBE2Q2
TADA2B	NT5DC1
TBC1D13	AGTPBP1
APC2	CEP83
COPZ1	UFL1
FTSJ3	AMIGO2
PPP1R7	NCBP2
EIPR1	TTC33
AP3D1	RERE
MAST2	ABCD3
EHD4	SLC46A3
RNF31	DIS3
SIN3A	PSMD12
MAGOH	SRSF2
GSS	ZNF12
TADA3	UBR1
ZNF32	LBR
NDUFS3	CAST
USP19	SNX3
NUDCD3	SMARCAD1
ZRANB1	PPAT
UROD	ETFDH
PSMC5	ACBD3
ADD1	ZNF675
EMC10	TRAPPC8
PTPRA	VPS36
CXXC1	RPS6KB1
POLR3C	LONRF1
TMEM134	SLF2
SUGP1	USP33
PECR	ALDH6A1
POM121C	NUMB
GNAI2	CDC27
THYN1	METTL25
HLA-A	IMPACT
SIRT2	NDUFAF5
EEF1D	TUBGCP5
HERC2	NIPSNAP2
WAS	SLC35E3
DDX19A	RAB11A
ESS2	C1RL
FAM193A	BIRC2
TRAPPC12	DCAF10
LSG1	RAP1GDS1
TAB1	SLC25A16
MFNG	AL035587.1
ANXA11	ATPSCKMT
COX10	UHRF1BP1L
ZFAND2B	AP4E1
EIF3D	TCEAL8
TSPAN14	HERC4
ILVBL	SEC61G
DMAC2	ATL2
SAFB	SEC22A
SLC50A1	OXR1
RPN1	OBI1
SF3A1	FEM1B
DNAJC7	POT1
SNF8	LRRC57
COASY	CFAP97
CRY1	IMMP1L
NOMO1	CEP57
MAP4	ZNF644
ACAA1	PPP6R3
PEX5	TRIM38
WASF2	RPAP2
SMARCD1	TMED10
CCNB1IP1	ZNF506
MAPK13	CLIP4
UBAC1	PIKFYVE
POLR2C	ACTR2
PRKCSH	MRPL32
CIZ1	PDHX
CIC	DPH6
SBF1	ANKRD42
ADGRE5	SOS1
PARP16	SEC62
MARK2	AP4S1
SF3B3	UBE2J1
USP20	IBTK
EMC1	ZNF264
MAPRE2	DIAPH2
MRPL20-AS1	NBN
SERGEF	NMD3
SNRPD3	CRYBG1
HTATIP2	MAK16
ZNHIT3	UBP1
DDX23	IFRD1
OTUD5	CYP4V2
ZC3H4	GNPNAT1
CC2D1B	CNIH4
FLAD1	RDX
INO80	REXO2
CYTH2	ATP7A
NUP88	PTGES3
OGFOD3	ADD3
GLTP	STMP1
TARBP2	TMEM19
CEP250	RSBN1L
ANGEL1	NKIRAS1
TULP3	ATF7
PFKL	FOXJ3
MRPL20	MAP3K13
FBXO42	FAM217B
UBA1	SCFD1
FUNDC2	ERCC8
SCAMP2	TTC3
SMARCAL1	LINC00294
NCL	ZNF706
CYFIP2	GAN
SUMF2	SMIM13
AKNA	TMA7
SLC25A39	TPMT
AKT1	XPR1
UCK1	TBK1
DNAJC8	LSM5
GMEB1	RIC1
ATXN7L3	JMJD1C
STARD3	TRA2B
MED24	C18orf25
SRF	CHUK
BTBD2	OMA1
LRRC41	API5
HDAC5	RB1CC1
CZIB	OTUD4
CAP1	CASC4
MAP2K7	P4HA1
ARID1A	TADA1
GIT1	SNX14
NAPA	PIK3CA
WIPI2	FAM133B
DDX10	DTD2
TATDN2	DHX15
SOD1	LRRC37BP1
HMCES	SLC9A6
IKBKE	TCEA1
STX4	ERLIN2
CHD3	MTMR10
ARHGDIB	NA
PSME3	CBX3
ARFGAP2	CBLB
DDB1	CAPN7
TRIP4	AGA
EMC3	RNF38
SEC13	TM9SF2
GNAS	HSF2
RABGGTA	FAM98A
TIMM44	UCHL5
HERPUD2	GMDS-DT
SHC1	ERBIN
RBCK1	NAB1
ATG13	CAND1
SART3	SRPK1
UNC13D	PPP2CA
GANAB	TIMM17A
UIMC1	PNPLA8
TRAF7	OPA1
YKT6	NAE1
SPOUT1	CANX
CTDSP2	SEH1L
METTL23	RAD17
FBXO34	ESCO1
C9orf78	ABCB10
NDRG3	TDP2
EPB41	USP12
RMDN3	HELZ
GARS1	C12orf76
UBL7-AS1	TLK1
CHD4	GLIPR1
SP2	ABI1
TARS2	ING3
PTPN9	AEBP2
MAP2K5	TPP2
FCHO1	SENP6
CHPF2	ELF2
IQCE	DMXL1
ASH2L	DENND10
DNAJC5	TSEN15
P4HB	SNX6
EIF2B3	TRPM7
AC025171.1	TASOR
AAAS	OGA
PLEKHM1	ATF7IP
SEPTIN1	TNKS2
CIR1	LSM11
PRPF4	UBR3
MAP3K14	PSMD6
JAK1	GALNT1
DDX27	PAPOLG
IMMT	RINT1
SF3A3	ZNF277
DLGAP4	NLK
PSMB4	NUP42
SCAMP3	NOL9
MFN2	CILK1
PDAP1	SLC30A5
CCDC174	USP14
CPSF7	NUDCD2
NAA60	SPAG9
DHPS	ABHD10
ZDHHC5	L2HGDH
RAB40C	CDK19
MED12	MYO5A
USP42	EIF3M
MSN	BTBD1
RNPS1	CAAP1
PIP4K2C	KPNA4
ATP1A1	KRCC1
UBE2Q1	OSGIN2
EIF3B	KYAT3
TRNAU1AP	GTF3C3
BAP1	ZNF24
CCDC120	TMEM50B
FTSJ1	RTCA
RFX5	PDE12
TMEM199	PCNX4
PA2G4	ITSN2
NUP210	CCND2
SLC4A2	MTF2
C11orf49	C6orf120
WDR70	PSEN1
SARS1	AFF1
BRD1	IPO8
RNF10	TFG
CDK9	RCBTB1
WDR5	SCAF11
ARAF	TCERG1
HDAC3	PIAS1
ASB6	HNRNPA1L2
ERCC2	LATS1
CCNDBP1	BLZF1
TTF1	LETMD1
STK24	MBIP
TRIM65	TNFAIP8
ABL1	SUPV3L1
ATP5F1B	ZNF195
RBM10	AZIN1
E2F4	C1orf52
GRK2	ANAPC16
TLN1	LGALS8
LEMD2	AP1G1
TRAPPC3	PPP1R12A
ZDHHC16	NUBPL
CSNK1D	EIF4A2
HMGXB3	HSDL1
SCAP	NORAD
PRRC2A	SCRN3
CSNK1A1	N4BP2L1
MVP	CRBN
EXOC7	MICU2
TRUB2	ZC3H11A
B3GAT3	ZNF26
KAT8	LEMD3
DCAF5	GNAI3
XAB2	COG3
NA	EPS15
ATG4B	ZHX1
RRNAD1	PJA2
GPN1	PPP2R5E
IDH3B	USP38
RNF185	MFN1
SRPRA	FBXO9
CCAR2	PPP2R2A
COX19	INTS6
DDX1	HBS1L
ATP6V1H	SNRNP27
DPF2	RLF
GTPBP1	NGLY1
CAMTA2	THUMPD1
TIMMDC1	DPP8
FLII	ACOT13
DCTN1	JKAMP
POMGNT1	FCHSD2
NCOA6	RMDN1
ASCC2	MFSD14A
HMGN4	SCO1
BECN1	RAB2A
RSAD1	PPP6C
ZNF3	MTRF1L
PSMD13	REEP5
MTMR14	DCUN1D3
KATNA1	RBMXL1
NOP14	RAB5A
KXD1	RASSF3
PPP2R2D	ZNF652
DNM2	TTC21B
ZNF341	ATP6V0A2
RETREG2	DENR
DCAKD	DERL2
LAS1L	C5orf22
RTF1	RNMT
CABIN1	DDI2
EMC4	ATAD1
UVRAG	SFPQ
CYREN	EIF3J
SLC25A38	TMEM131
PI4KB	CCDC91
WHAMM	L3MBTL3
PRPSAP1	ZC3H8
ZNF778	PCMTD2
HTT	NUCKS1
