Fairfax_response_down_responder	Fairfax_response_up_Non_responder
TSR3	N4BP2L2-IT2
ZNF236-DT	LILRB3
ZSCAN21	NCF4
LRFN3	AC008555.7
ITM2C	HECW2-AS1
DRAP1	LNX1
LRFN1	AL031670.1
ALKBH7	KCNIP4
CAPN5	AL050343.2
B3GALT4	TPST1
LTBP4	AC015871.1
LENG1	PLIN4
TEDC1	CALM2P2
ACOT2	A2M
CCDC96	ABCG2
UBASH3A	LY96
IL2RB	AC138393.1
DHRS13	SYCP2
STUB1	AL390728.6
NPTXR	AC113191.1
TMEM102	SBSPON
PRAG1	PWAR5
TLE2	ARRDC4
ZNF790-AS1	AC012557.1
NAGS	LRRC7
HLA-DOA	TRAV38-2DV8
TRAIP	NFKBIZ
ZNF668	HOMER3
TGFB1	AC007390.2
ORAI1	NA
ATP10A	DMXL2
MTHFS	PKD1P5
DYRK1B	ARL11
RHOF	AC125257.1
C1orf122	KCTD3
CRIP1	EVI5
MRPL10	INKA2
THOC3	ALG10B
ZNF469	PAPSS2
MCAT	OSMR
MPST	AC022893.1
CBX3P9	DSEL
TRBC1	AP000766.1
CTSF	AC055748.1
RPL39L	GPM6B
FOXD2	B3GAT2
RNF126	A2M-AS1
AL355001.2	ALPK1
P3H4	CLTCL1
BBC3	ATP8B4
ZNF256	IFNGR2
NFKBIB	AC005839.1
AURKAIP1	ACVR1C
LINC02361	BCL2L15
NTMT1	RAVER2
SNAI3	HRH2
CDKN2C	FGD6
CDK2AP2	SCML1
H2AW	AP001486.2
PPP1R35	C5AR2
ZBTB42	NCF1B
MED19	AC000123.1
AC004865.2	AL031772.1
AC006449.6	NPL
PDCL3	CLIC4
CPTP	LINC01355
HAGHL	LRRC69
ANXA2P2	AC020978.7
TMEM169	SH3D19
ATP5F1D	AC109587.1
RITA1	AMPH
RBM42	SULT1B1
AC119044.1	MIR155HG
AL391121.1	ADAM9
CDIP1	AL121839.2
LPAR5	AP001350.1
TBCB	AC007038.1
BOLA1	PRKXP1
TRAPPC2B	RNF144B
ALKBH4	THBS4
ZNF219	LINC01619
GAMT	AL355488.1
AC138969.1	AC092747.4
AL139246.5	AC005332.3
SESN2	AC008467.1
COPRS	NA
ZNF428	LINC00624
DNAJB1	AC016739.1
GADD45B	FAAHP1
BATF	KCNAB1
B4GAT1	AC012636.1
ZNF672	CELF2-AS1
UCP2	YOD1
PARD6A	TAS2R14
NAXE	GK
ICAM2	BMI1
AC067852.2	GMFB
CCDC124	EP300-AS1
LMTK3	DOK6
GPSM1	CCDC122
PRKCZ	AC020916.1
PPP1R13L	SLC13A4
