C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD4_CCR7_nam,C1_CD4_CCR7_pva,C1_CD4_CCR7_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C3_CD4_RORA_nam,C3_CD4_RORA_pva,C3_CD4_RORA_log,C4_CD8_GZMB_nam,C4_CD8_GZMB_pva,C4_CD8_GZMB_log,C6_CD4_CXCL13_nam,C6_CD4_CXCL13_pva,C6_CD4_CXCL13_log,C7_CD8_HAVCR2_nam,C7_CD8_HAVCR2_pva,C7_CD8_HAVCR2_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
SERPINB8,0.852047494,-0.43639812,MSH2,0.149956301,-0.9932097,AATF,0.186402717,-0.14881775,SETD4,0.856725682,-0.2880956,KAT2B,0.532643413,-0.7511828,KCNC3,0.951922712,-21.921925,TANGO6,0.853820877,-0.6094687,SGCE,0.954884961,-22.575972,RCL1,0.918661067,-1.4223047
STRIP1,0.851817997,-0.12088143,ATAD5,0.149931651,-1.1153681,SRP14,0.186085687,-0.19624475,VPREB3,0.856713874,-1.7144036,SAC3D1,0.532630354,-1.8879101,CDH23,0.951922712,-22.061535,NUP188,0.853643388,-0.36367956,OXT,0.954884961,-22.562574,PPIC,0.918824819,-0.9915748
ME2,0.851783998,-0.11268146,TTF1,0.149891601,-0.28850853,RCOR3,0.185941715,-0.6858427,C2CD4D,0.856713874,-1.5794739,CCNT2,0.532604239,-0.6343829,DYNLRB2,0.951922712,-22.00195,NSUN6,0.85351915,-0.23791637,DMD,0.954884961,-22.44089,BBS2,0.919043161,-0.9907843
ST6GALNAC3,0.851707502,-2.4281545,MED31,0.149703785,-0.38333347,GIGYF2,0.185580091,-0.31876233,ELMO3,0.85648952,-1.0575498,GNAS,0.532382282,-0.10835428,FOXF1,0.951922712,-22.04933,HELZ,0.853448159,-0.23448546,TBX6,0.954884961,-22.491436,WFDC2,0.919043161,-0.79198754
LDB2,0.851673505,-2.5871866,C1orf52,0.149663781,-0.31333193,SKIL,0.185227188,-0.3407145,ADAMTSL5,0.856454097,-1.9182545,PQBP1,0.532330063,-0.15254821,PAK6,0.951922712,-22.164654,FBXO22,0.853181951,-0.31335405,PTAFR,0.954884961,-22.47033,ZNF557,0.919125041,-0.79035586
SYCE1L,0.851648006,-0.03616525,DLGAP5,0.149485405,-25.437292,FKBP8,0.185112396,-0.17643547,PLCL2,0.856418674,-0.28543067,MSL2,0.531781927,-0.8051772,KDF1,0.951922712,-22.145584,LZTFL1,0.853093219,-1.0970758,LYPD8,0.954884961,-22.547493,F11R,0.91939798,-0.58340466
AP006285.2,0.851639507,-2.5986674,ATF6B,0.149466961,-0.1347291,PLEKHA2,0.185046825,-0.23181893,DPCD,0.856336022,-0.69154394,PPP2R5D,0.531651461,-0.9654125,NEFM,0.951922712,-22.28123,PUS3,0.853075472,-0.5236044,PARS2,0.954884961,-22.537642,CTPS2,0.91978011,0.9971957
ANKRD54,0.851631008,-0.1452969,U2AF1,0.149337905,-0.40925112,ACO2,0.184887067,-0.19733743,PROB1,0.856288793,-2.5360305,MGA,0.531586234,-0.47672632,NRN1,0.951922712,-22.082148,CD274,0.853057726,-1.1658456,ALDH7A1,0.954884961,-22.411493,PCGF2,0.919834702,1.2400081
GTSF1,0.851622509,-0.30779314,ZNF688,0.149205864,-0.23852158,SS18,0.184801085,-0.301462,ZFP28,0.856217951,-1.2495201,IP6K2,0.531390576,-0.17879666,RAB11FIP3,0.951922712,-21.74006,SULT1A1,0.852614097,-0.31508306,EHD3,0.954884961,-22.43674,TTC21A,0.919834702,1.1653659
RHOU,0.85160551,-3.289345,INO80C,0.14894205,-0.57353044,UBE2L6,0.184739688,-0.103334926,HHAT,0.856194337,-0.83320194,GTF3C2,0.531051524,-1.4524703,TRIM60,0.951922712,-22.196577,GRK5,0.852614097,-0.2594189,ZNF365,0.954884961,-22.586922,OGT,0.919998479,-0.9648227
